,rank,Team,rank_change,year,Part,Pld,W,D,L,GF,GA,GD,Points,previous_cup_wins,won_this_year
2322,167,Madagascar,1,1998,1.0,5.0,2.0,2.0,1.0,7.0,7.0,0.0,8.0,0,0
2323,189,Djibouti,0,1998,,,,,,,,,,0,0
2324,97,Malawi,-2,1998,3.0,10.0,2.0,2.0,6.0,9.0,15.0,-6.0,8.0,0,0
2325,147,Libya,1,1998,3.0,11.0,3.0,5.0,3.0,12.0,13.0,-1.0,14.0,0,0
2326,150,Guinea-Bissau,2,1998,4.0,12.0,0.0,3.0,9.0,4.0,19.0,-15.0,3.0,0,0
2327,152,Niger,1,1998,2.0,6.0,0.0,1.0,5.0,1.0,9.0,-8.0,1.0,0,0
2328,153,Botswana,1,1998,1.0,3.0,0.0,0.0,3.0,2.0,9.0,-7.0,0.0,0,0
2329,155,Mauritius,1,1998,1.0,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0,0
2330,156,Burundi,1,1998,1.0,3.0,0.0,0.0,3.0,0.0,4.0,-4.0,0.0,0,0
2331,163,Cape Verde,-2,1998,4.0,16.0,5.0,8.0,3.0,14.0,12.0,2.0,21.0,0,0
2332,43,Ivory Coast,1,1998,25.0,106.0,48.0,30.0,28.0,152.0,111.0,41.0,174.0,1,0
2333,26,Tunisia,4,1998,21.0,83.0,25.0,30.0,27.0,99.0,97.0,2.0,105.0,0,0
2334,10,Morocco,-1,1998,19.0,74.0,29.0,25.0,20.0,87.0,65.0,22.0,112.0,1,0
2335,18,Egypt,-3,1998,26.0,111.0,60.0,24.0,27.0,175.0,97.0,78.0,204.0,4,1
2336,19,Zambia,0,1998,18.0,69.0,27.0,19.0,23.0,83.0,70.0,13.0,100.0,0,0
2337,21,South Africa,1,1998,11.0,50.0,18.0,16.0,16.0,55.0,48.0,7.0,70.0,1,0
2338,48,Cameroon,0,1998,21.0,95.0,46.0,31.0,18.0,142.0,90.0,52.0,169.0,2,0
2339,77,Togo,-4,1998,8.0,25.0,3.0,8.0,14.0,19.0,42.0,-23.0,17.0,0,0
2340,78,Namibia,-2,1998,4.0,13.0,1.0,3.0,9.0,11.0,31.0,-20.0,6.0,0,0
2341,80,Gabon,8,1998,8.0,25.0,7.0,10.0,8.0,24.0,27.0,-3.0,31.0,0,0
2342,81,Senegal,-4,1998,17.0,71.0,30.0,18.0,23.0,87.0,58.0,29.0,108.0,0,0
2343,86,Zimbabwe,-6,1998,5.0,15.0,3.0,2.0,10.0,16.0,31.0,-15.0,11.0,0,0
2344,90,Sierra Leone,3,1998,3.0,8.0,1.0,3.0,4.0,4.0,14.0,-10.0,6.0,0,0
2345,91,Kenya,-2,1998,6.0,17.0,2.0,4.0,11.0,11.0,31.0,-20.0,10.0,0,0
2346,71,Mozambique,-3,1998,5.0,15.0,0.0,4.0,11.0,8.0,33.0,-25.0,4.0,0,0
2347,58,Algeria,-1,1998,20.0,80.0,28.0,24.0,28.0,97.0,93.0,4.0,108.0,1,0
2348,59,Angola,2,1998,9.0,31.0,7.0,13.0,11.0,39.0,43.0,-4.0,34.0,0,0
2349,60,Ghana,2,1998,24.0,105.0,54.0,23.0,28.0,138.0,93.0,45.0,185.0,4,0
2350,61,Guinea,-1,1998,14.0,52.0,15.0,18.0,19.0,65.0,72.0,-7.0,63.0,0,0
2351,64,DR Congo,1,1998,20.0,80.0,21.0,29.0,30.0,94.0,107.0,-13.0,92.0,2,0
2352,66,Mali,-2,1998,13.0,59.0,21.0,21.0,17.0,71.0,69.0,2.0,84.0,0,0
2353,68,Burkina Faso,-7,1998,13.0,52.0,10.0,17.0,25.0,51.0,78.0,-27.0,47.0,0,0
2354,69,Nigeria,4,1998,20.0,104.0,57.0,24.0,23.0,146.0,95.0,50.0,195.0,2,0
2355,95,Tanzania,1,1998,3.0,9.0,0.0,3.0,6.0,6.0,18.0,-12.0,3.0,0,0
2356,49,Cameroon,1,1998,21.0,95.0,46.0,31.0,18.0,142.0,90.0,52.0,169.0,2,0
2357,128,Mauritania,1,1998,3.0,10.0,1.0,2.0,7.0,4.0,16.0,-12.0,5.0,0,0
2358,131,Ethiopia,0,1998,11.0,30.0,7.0,4.0,19.0,31.0,67.0,-36.0,25.0,1,0
2359,132,Benin,-2,1998,4.0,14.0,0.0,5.0,9.0,7.0,24.0,-17.0,5.0,0,0
2360,136,Lesotho,-1,1998,,,,,,,,,,0,0
2361,120,Gambia,-1,1998,2.0,8.0,3.0,1.0,4.0,6.0,10.0,-4.0,10.0,0,0
2362,113,Sudan,2,1998,9.0,27.0,7.0,7.0,13.0,29.0,42.0,-13.0,28.0,1,0
2363,116,Uganda,3,1998,7.0,23.0,4.0,3.0,16.0,21.0,38.0,-17.0,15.0,0,0
2364,109,Congo,-1,1998,7.0,26.0,7.0,7.0,12.0,27.0,37.0,-10.0,28.0,1,0
2365,172,Rwanda,0,1998,1.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,4.0,0,0
2366,180,Seychelles,0,1998,,,,,,,,,,0,0
2367,182,Chad,-1,1998,,,,,,,,,,0,0
2368,187,Somalia,0,1998,,,,,,,,,,0,0
2369,188,CAR,0,1998,,,,,,,,,,0,0
2370,189,Djibouti,0,1998,,,,,,,,,,0,0
2371,98,Liberia,0,1998,2.0,5.0,1.0,2.0,2.0,5.0,7.0,-2.0,5.0,0,0
2372,169,Madagascar,2,1998,1.0,5.0,2.0,2.0,1.0,7.0,7.0,0.0,8.0,0,0
2373,147,Eswatini,2,1998,,,,,,,,,,0,0
2374,148,Libya,1,1998,3.0,11.0,3.0,5.0,3.0,12.0,13.0,-1.0,14.0,0,0
2375,152,Guinea-Bissau,2,1998,4.0,12.0,0.0,3.0,9.0,4.0,19.0,-15.0,3.0,0,0
2376,154,Botswana,1,1998,1.0,3.0,0.0,0.0,3.0,2.0,9.0,-7.0,0.0,0,0
2377,155,Niger,3,1998,2.0,6.0,0.0,1.0,5.0,1.0,9.0,-8.0,1.0,0,0
2378,158,Burundi,2,1998,1.0,3.0,0.0,0.0,3.0,0.0,4.0,-4.0,0.0,0,0
2379,164,Cape Verde,1,1998,4.0,16.0,5.0,8.0,3.0,14.0,12.0,2.0,21.0,0,0
2380,157,Mauritius,2,1998,1.0,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0,0
2381,97,Malawi,0,1998,3.0,10.0,2.0,2.0,6.0,9.0,15.0,-6.0,8.0,0,0
2382,95,Tanzania,0,1998,3.0,9.0,0.0,3.0,6.0,6.0,18.0,-12.0,3.0,0,0
2383,24,South Africa,3,1998,11.0,50.0,18.0,16.0,16.0,55.0,48.0,7.0,70.0,1,0
2384,44,Ivory Coast,1,1998,25.0,106.0,48.0,30.0,28.0,152.0,111.0,41.0,174.0,1,0
2385,23,Zambia,4,1998,18.0,69.0,27.0,19.0,23.0,83.0,70.0,13.0,100.0,0,0
2386,21,Tunisia,-5,1998,21.0,83.0,25.0,30.0,27.0,99.0,97.0,2.0,105.0,0,0
2387,13,Morocco,3,1998,19.0,74.0,29.0,25.0,20.0,87.0,65.0,22.0,112.0,1,0
2388,17,Egypt,-1,1998,26.0,111.0,60.0,24.0,27.0,175.0,97.0,78.0,204.0,4,1
2389,76,Namibia,-2,1998,4.0,13.0,1.0,3.0,9.0,11.0,31.0,-20.0,6.0,0,0
2390,78,Senegal,-3,1998,17.0,71.0,30.0,18.0,23.0,87.0,58.0,29.0,108.0,0,0
2391,79,Gabon,-1,1998,8.0,25.0,7.0,10.0,8.0,24.0,27.0,-3.0,31.0,0,0
2392,74,Nigeria,5,1998,20.0,104.0,57.0,24.0,23.0,146.0,95.0,50.0,195.0,2,0
2393,84,Zimbabwe,-2,1998,5.0,15.0,3.0,2.0,10.0,16.0,31.0,-15.0,11.0,0,0
2394,91,Sierra Leone,1,1998,3.0,8.0,1.0,3.0,4.0,4.0,14.0,-10.0,6.0,0,0
2395,93,Kenya,2,1998,6.0,17.0,2.0,4.0,11.0,11.0,31.0,-20.0,10.0,0,0
2396,73,Togo,-4,1998,8.0,25.0,3.0,8.0,14.0,19.0,42.0,-23.0,17.0,0,0
2397,56,Angola,-3,1998,9.0,31.0,7.0,13.0,11.0,39.0,43.0,-4.0,34.0,0,0
2398,57,Algeria,-1,1998,20.0,80.0,28.0,24.0,28.0,97.0,93.0,4.0,108.0,1,0
2399,60,Guinea,-1,1998,14.0,52.0,15.0,18.0,19.0,65.0,72.0,-7.0,63.0,0,0
2400,63,DR Congo,-1,1998,20.0,80.0,21.0,29.0,30.0,94.0,107.0,-13.0,92.0,2,0
2401,65,Ghana,5,1998,24.0,105.0,54.0,23.0,28.0,138.0,93.0,45.0,185.0,4,0
2402,66,Mali,0,1998,13.0,59.0,21.0,21.0,17.0,71.0,69.0,2.0,84.0,0,0
2403,67,Burkina Faso,-1,1998,13.0,52.0,10.0,17.0,25.0,51.0,78.0,-27.0,47.0,0,0
2404,69,Mozambique,-2,1998,5.0,15.0,0.0,4.0,11.0,8.0,33.0,-25.0,4.0,0,0
2405,68,Burkina Faso,1,1998,13.0,52.0,10.0,17.0,25.0,51.0,78.0,-27.0,47.0,0,0
2406,67,Mali,1,1998,13.0,59.0,21.0,21.0,17.0,71.0,69.0,2.0,84.0,0,0
2407,65,Ghana,0,1998,24.0,105.0,54.0,23.0,28.0,138.0,93.0,45.0,185.0,4,0
2408,64,Nigeria,-10,1998,20.0,104.0,57.0,24.0,23.0,146.0,95.0,50.0,195.0,2,0
2409,63,Algeria,6,1998,20.0,80.0,28.0,24.0,28.0,97.0,93.0,4.0,108.0,1,0
2410,61,Guinea,1,1998,14.0,52.0,15.0,18.0,19.0,65.0,72.0,-7.0,63.0,0,0
2411,60,DR Congo,-3,1998,20.0,80.0,21.0,29.0,30.0,94.0,107.0,-13.0,92.0,2,0
2412,57,Angola,1,1998,9.0,31.0,7.0,13.0,11.0,39.0,43.0,-4.0,34.0,0,0
2413,71,Zimbabwe,-13,1998,5.0,15.0,3.0,2.0,10.0,16.0,31.0,-15.0,11.0,0,0
2414,92,Kenya,-1,1998,6.0,17.0,2.0,4.0,11.0,11.0,31.0,-20.0,10.0,0,0
2415,87,Sierra Leone,-4,1998,3.0,8.0,1.0,3.0,4.0,4.0,14.0,-10.0,6.0,0,0
2416,85,Senegal,7,1998,17.0,71.0,30.0,18.0,23.0,87.0,58.0,29.0,108.0,0,0
2417,81,Namibia,5,1998,4.0,13.0,1.0,3.0,9.0,11.0,31.0,-20.0,6.0,0,0
2418,77,Togo,4,1998,8.0,25.0,3.0,8.0,14.0,19.0,42.0,-23.0,17.0,0,0
2419,75,Mozambique,6,1998,5.0,15.0,0.0,4.0,11.0,8.0,33.0,-25.0,4.0,0,0
2420,82,Gabon,3,1998,8.0,25.0,7.0,10.0,8.0,24.0,27.0,-3.0,31.0,0,0
2421,20,Egypt,3,1998,26.0,111.0,60.0,24.0,27.0,175.0,97.0,78.0,204.0,4,1
2422,16,Morocco,3,1998,19.0,74.0,29.0,25.0,20.0,87.0,65.0,22.0,112.0,1,0
2423,25,Tunisia,4,1998,21.0,83.0,25.0,30.0,27.0,99.0,97.0,2.0,105.0,0,0
2424,45,Ivory Coast,1,1998,25.0,106.0,48.0,30.0,28.0,152.0,111.0,41.0,174.0,1,0
2425,40,Cameroon,-9,1998,21.0,95.0,46.0,31.0,18.0,142.0,90.0,52.0,169.0,2,0
2426,24,Zambia,1,1998,18.0,69.0,27.0,19.0,23.0,83.0,70.0,13.0,100.0,0,0
2427,27,South Africa,3,1998,11.0,50.0,18.0,16.0,16.0,55.0,48.0,7.0,70.0,1,0
2428,164,Cape Verde,0,1998,4.0,16.0,5.0,8.0,3.0,14.0,12.0,2.0,21.0,0,0
2429,160,Burundi,2,1998,1.0,3.0,0.0,0.0,3.0,0.0,4.0,-4.0,0.0,0,0
2430,158,Botswana,4,1998,1.0,3.0,0.0,0.0,3.0,2.0,9.0,-7.0,0.0,0,0
2431,157,Mauritius,0,1998,1.0,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0,0
2432,152,Guinea-Bissau,0,1998,4.0,12.0,0.0,3.0,9.0,4.0,19.0,-15.0,3.0,0,0
2433,148,Libya,0,1998,3.0,11.0,3.0,5.0,3.0,12.0,13.0,-1.0,14.0,0,0
2434,145,Eswatini,-2,1998,,,,,,,,,,0,0
2435,155,Niger,0,1998,2.0,6.0,0.0,1.0,5.0,1.0,9.0,-8.0,1.0,0,0
2436,189,Djibouti,0,1998,,,,,,,,,,0,0
2437,188,CAR,0,1998,,,,,,,,,,0,0
2438,187,Somalia,0,1998,,,,,,,,,,0,0
2439,183,Chad,1,1998,,,,,,,,,,0,0
2440,181,Seychelles,1,1998,,,,,,,,,,0,0
2441,168,Madagascar,-1,1998,1.0,5.0,2.0,2.0,1.0,7.0,7.0,0.0,8.0,0,0
2442,172,Rwanda,0,1998,1.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,4.0,0,0
2443,116,Congo,7,1998,7.0,26.0,7.0,7.0,12.0,27.0,37.0,-10.0,28.0,1,0
2444,115,Sudan,2,1998,9.0,27.0,7.0,7.0,13.0,29.0,42.0,-13.0,28.0,1,0
2445,117,Gambia,-3,1998,2.0,8.0,3.0,1.0,4.0,6.0,10.0,-4.0,10.0,0,0
2446,105,Tanzania,10,1998,3.0,9.0,0.0,3.0,6.0,6.0,18.0,-12.0,3.0,0,0
2447,104,Liberia,6,1998,2.0,5.0,1.0,2.0,2.0,5.0,7.0,-2.0,5.0,0,0
2448,100,Malawi,3,1998,3.0,10.0,2.0,2.0,6.0,9.0,15.0,-6.0,8.0,0,0
2449,118,Uganda,2,1998,7.0,23.0,4.0,3.0,16.0,21.0,38.0,-17.0,15.0,0,0
2450,136,Lesotho,0,1998,,,,,,,,,,0,0
2451,135,Benin,3,1998,4.0,14.0,0.0,5.0,9.0,7.0,24.0,-17.0,5.0,0,0
2452,131,Ethiopia,0,1998,11.0,30.0,7.0,4.0,19.0,31.0,67.0,-36.0,25.0,1,0
2453,127,Mauritania,-1,1998,3.0,10.0,1.0,2.0,7.0,4.0,16.0,-12.0,5.0,0,0
2454,127,Benin,-8,1998,4.0,14.0,0.0,5.0,9.0,7.0,24.0,-17.0,5.0,0,0
2455,133,Lesotho,-3,1998,,,,,,,,,,0,0
2456,138,Ethiopia,7,1998,11.0,30.0,7.0,4.0,19.0,31.0,67.0,-36.0,25.0,1,0
2457,141,Niger,-14,1998,2.0,6.0,0.0,1.0,5.0,1.0,9.0,-8.0,1.0,0,0
2458,147,Eswatini,2,1998,,,,,,,,,,0,0
2459,151,Libya,3,1998,3.0,11.0,3.0,5.0,3.0,12.0,13.0,-1.0,14.0,0,0
2460,153,Burundi,-7,1998,1.0,3.0,0.0,0.0,3.0,0.0,4.0,-4.0,0.0,0,0
2461,154,Botswana,-4,1998,1.0,3.0,0.0,0.0,3.0,2.0,9.0,-7.0,0.0,0,0
2462,125,Mauritania,-2,1998,3.0,10.0,1.0,2.0,7.0,4.0,16.0,-12.0,5.0,0,0
2463,156,Guinea-Bissau,4,1998,4.0,12.0,0.0,3.0,9.0,4.0,19.0,-15.0,3.0,0,0
2464,101,Uganda,-17,1998,7.0,23.0,4.0,3.0,16.0,21.0,38.0,-17.0,15.0,0,0
2465,108,Liberia,4,1998,2.0,5.0,1.0,2.0,2.0,5.0,7.0,-2.0,5.0,0,0
2466,109,Tanzania,4,1998,3.0,9.0,0.0,3.0,6.0,6.0,18.0,-12.0,3.0,0,0
2467,116,Congo,0,1998,7.0,26.0,7.0,7.0,12.0,27.0,37.0,-10.0,28.0,1,0
2468,117,Sudan,2,1998,9.0,27.0,7.0,7.0,13.0,29.0,42.0,-13.0,28.0,1,0
2469,118,Gambia,1,1998,2.0,8.0,3.0,1.0,4.0,6.0,10.0,-4.0,10.0,0,0
2470,157,Mauritius,0,1998,1.0,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0,0
2471,194,Sao Tome and Principe,194,1998,,,,,,,,,,0,0
2472,73,Senegal,-12,1998,17.0,71.0,30.0,18.0,23.0,87.0,58.0,29.0,108.0,0,0
2473,69,Zimbabwe,-2,1998,5.0,15.0,3.0,2.0,10.0,16.0,31.0,-15.0,11.0,0,0
2474,67,Ghana,2,1998,24.0,105.0,54.0,23.0,28.0,138.0,93.0,45.0,185.0,4,0
2475,66,DR Congo,6,1998,20.0,80.0,21.0,29.0,30.0,94.0,107.0,-13.0,92.0,2,0
2476,65,Nigeria,1,1998,20.0,104.0,57.0,24.0,23.0,146.0,95.0,50.0,195.0,2,0
2477,64,Algeria,1,1998,20.0,80.0,28.0,24.0,28.0,97.0,93.0,4.0,108.0,1,0
2478,62,Burkina Faso,-6,1998,13.0,52.0,10.0,17.0,25.0,51.0,78.0,-27.0,47.0,0,0
2479,59,Guinea,-2,1998,14.0,52.0,15.0,18.0,19.0,65.0,72.0,-7.0,63.0,0,0
2480,58,Mali,-9,1998,13.0,59.0,21.0,21.0,17.0,71.0,69.0,2.0,84.0,0,0
2481,56,Angola,-1,1998,9.0,31.0,7.0,13.0,11.0,39.0,43.0,-4.0,34.0,0,0
2482,49,Ivory Coast,4,1998,25.0,106.0,48.0,30.0,28.0,152.0,111.0,41.0,174.0,1,0
2483,190,Djibouti,1,1998,,,,,,,,,,0,0
2484,161,Madagascar,-7,1998,1.0,5.0,2.0,2.0,1.0,7.0,7.0,0.0,8.0,0,0
2485,162,Cape Verde,-2,1998,4.0,16.0,5.0,8.0,3.0,14.0,12.0,2.0,21.0,0,0
2486,167,Rwanda,-5,1998,1.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,4.0,0,0
2487,74,Namibia,-7,1998,4.0,13.0,1.0,3.0,9.0,11.0,31.0,-20.0,6.0,0,0
2488,176,Chad,-7,1998,,,,,,,,,,0,0
2489,183,Seychelles,2,1998,,,,,,,,,,0,0
2490,187,Somalia,0,1998,,,,,,,,,,0,0
2491,188,CAR,0,1998,,,,,,,,,,0,0
2492,189,Equatorial Guinea,189,1998,4.0,19.0,8.0,5.0,6.0,20.0,18.0,2.0,29.0,0,0
2493,89,Sierra Leone,2,1998,3.0,8.0,1.0,3.0,4.0,4.0,14.0,-10.0,6.0,0,0
2494,23,Zambia,-1,1998,18.0,69.0,27.0,19.0,23.0,83.0,70.0,13.0,100.0,0,0
2495,20,Egypt,0,1998,26.0,111.0,60.0,24.0,27.0,175.0,97.0,78.0,204.0,4,1
2496,16,Morocco,0,1998,19.0,74.0,29.0,25.0,20.0,87.0,65.0,22.0,112.0,1,0
2497,26,Tunisia,1,1998,21.0,83.0,25.0,30.0,27.0,99.0,97.0,2.0,105.0,0,0
2498,28,South Africa,1,1998,11.0,50.0,18.0,16.0,16.0,55.0,48.0,7.0,70.0,1,0
2499,87,Gabon,5,1998,8.0,25.0,7.0,10.0,8.0,24.0,27.0,-3.0,31.0,0,0
2500,84,Kenya,-8,1998,6.0,17.0,2.0,4.0,11.0,11.0,31.0,-20.0,10.0,0,0
2501,79,Togo,2,1998,8.0,25.0,3.0,8.0,14.0,19.0,42.0,-23.0,17.0,0,0
2502,78,Mozambique,3,1998,5.0,15.0,0.0,4.0,11.0,8.0,33.0,-25.0,4.0,0,0
2503,83,Malawi,-17,1998,3.0,10.0,2.0,2.0,6.0,9.0,15.0,-6.0,8.0,0,0
2504,37,Cameroon,-3,1998,21.0,95.0,46.0,31.0,18.0,142.0,90.0,52.0,169.0,2,0
2505,53,Mali,-5,1998,13.0,59.0,21.0,21.0,17.0,71.0,69.0,2.0,84.0,0,0
2506,46,Angola,-10,1998,9.0,31.0,7.0,13.0,11.0,39.0,43.0,-4.0,34.0,0,0
2507,45,Ivory Coast,-4,1998,25.0,106.0,48.0,30.0,28.0,152.0,111.0,41.0,174.0,1,0
2508,56,Algeria,-8,1998,20.0,80.0,28.0,24.0,28.0,97.0,93.0,4.0,108.0,1,0
2509,69,DR Congo,3,1998,20.0,80.0,21.0,29.0,30.0,94.0,107.0,-13.0,92.0,2,0
2510,73,Togo,-6,1998,8.0,25.0,3.0,8.0,14.0,19.0,42.0,-23.0,17.0,0,0
2511,72,Namibia,-2,1998,4.0,13.0,1.0,3.0,9.0,11.0,31.0,-20.0,6.0,0,0
2512,70,Zimbabwe,1,1998,5.0,15.0,3.0,2.0,10.0,16.0,31.0,-15.0,11.0,0,0
2513,68,Nigeria,3,1998,20.0,104.0,57.0,24.0,23.0,146.0,95.0,50.0,195.0,2,0
2514,67,Burkina Faso,5,1998,13.0,52.0,10.0,17.0,25.0,51.0,78.0,-27.0,47.0,0,0
2515,63,Guinea,4,1998,14.0,52.0,15.0,18.0,19.0,65.0,72.0,-7.0,63.0,0,0
2516,60,Ghana,-7,1998,24.0,105.0,54.0,23.0,28.0,138.0,93.0,45.0,185.0,4,0
2517,15,Morocco,-1,1998,19.0,74.0,29.0,25.0,20.0,87.0,65.0,22.0,112.0,1,0
2518,19,Egypt,-1,1998,26.0,111.0,60.0,24.0,27.0,175.0,97.0,78.0,204.0,4,1
2519,31,South Africa,3,1998,11.0,50.0,18.0,16.0,16.0,55.0,48.0,7.0,70.0,1,0
2520,37,Cameroon,0,1998,21.0,95.0,46.0,31.0,18.0,142.0,90.0,52.0,169.0,2,0
2521,26,Tunisia,0,1998,21.0,83.0,25.0,30.0,27.0,99.0,97.0,2.0,105.0,0,0
2522,23,Zambia,0,1998,18.0,69.0,27.0,19.0,23.0,83.0,70.0,13.0,100.0,0,0
2523,127,Mauritania,2,1998,3.0,10.0,1.0,2.0,7.0,4.0,16.0,-12.0,5.0,0,0
2524,125,Benin,-2,1998,4.0,14.0,0.0,5.0,9.0,7.0,24.0,-17.0,5.0,0,0
2525,117,Gambia,-1,1998,2.0,8.0,3.0,1.0,4.0,6.0,10.0,-4.0,10.0,0,0
2526,116,Sudan,-1,1998,9.0,27.0,7.0,7.0,13.0,29.0,42.0,-13.0,28.0,1,0
2527,132,Lesotho,-1,1998,,,,,,,,,,0,0
2528,147,Burundi,-6,1998,1.0,3.0,0.0,0.0,3.0,0.0,4.0,-4.0,0.0,0,0
2529,142,Niger,1,1998,2.0,6.0,0.0,1.0,5.0,1.0,9.0,-8.0,1.0,0,0
2530,141,Eswatini,-6,1998,,,,,,,,,,0,0
2531,138,Ethiopia,0,1998,11.0,30.0,7.0,4.0,19.0,31.0,67.0,-36.0,25.0,1,0
2532,111,Tanzania,2,1998,3.0,9.0,0.0,3.0,6.0,6.0,18.0,-12.0,3.0,0,0
2533,89,Malawi,6,1998,3.0,10.0,2.0,2.0,6.0,9.0,15.0,-6.0,8.0,0,0
2534,87,Gabon,0,1998,8.0,25.0,7.0,10.0,8.0,24.0,27.0,-3.0,31.0,0,0
2535,86,Kenya,2,1998,6.0,17.0,2.0,4.0,11.0,11.0,31.0,-20.0,10.0,0,0
2536,80,Senegal,7,1998,17.0,71.0,30.0,18.0,23.0,87.0,58.0,29.0,108.0,0,0
2537,78,Mozambique,0,1998,5.0,15.0,0.0,4.0,11.0,8.0,33.0,-25.0,4.0,0,0
2538,105,Liberia,-3,1998,2.0,5.0,1.0,2.0,2.0,5.0,7.0,-2.0,5.0,0,0
2539,104,Uganda,3,1998,7.0,23.0,4.0,3.0,16.0,21.0,38.0,-17.0,15.0,0,0
2540,103,Sierra Leone,14,1998,3.0,8.0,1.0,3.0,4.0,4.0,14.0,-10.0,6.0,0,0
2541,149,Mauritius,-8,1998,1.0,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0,0
2542,115,Congo,-1,1998,7.0,26.0,7.0,7.0,12.0,27.0,37.0,-10.0,28.0,1,0
2543,174,Seychelles,-9,1998,,,,,,,,,,0,0
2544,170,Chad,-6,1998,,,,,,,,,,0,0
2545,163,Rwanda,-4,1998,1.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,4.0,0,0
2546,159,Cape Verde,-3,1998,4.0,16.0,5.0,8.0,3.0,14.0,12.0,2.0,21.0,0,0
2547,158,Guinea-Bissau,2,1998,4.0,12.0,0.0,3.0,9.0,4.0,19.0,-15.0,3.0,0,0
2548,155,Botswana,1,1998,1.0,3.0,0.0,0.0,3.0,2.0,9.0,-7.0,0.0,0,0
2549,152,Madagascar,-9,1998,1.0,5.0,2.0,2.0,1.0,7.0,7.0,0.0,8.0,0,0
2550,151,Libya,0,1998,3.0,11.0,3.0,5.0,3.0,12.0,13.0,-1.0,14.0,0,0
2551,191,Sao Tome and Principe,-3,1998,,,,,,,,,,0,0
2552,190,Equatorial Guinea,1,1998,4.0,19.0,8.0,5.0,6.0,20.0,18.0,2.0,29.0,0,0
2553,189,Djibouti,-1,1998,,,,,,,,,,0,0
2554,188,CAR,0,1998,,,,,,,,,,0,0
2555,187,Somalia,0,1998,,,,,,,,,,0,0
2556,178,Seychelles,4,1998,,,,,,,,,,0,0
2557,190,CAR,2,1998,,,,,,,,,,0,0
2558,188,Somalia,1,1998,,,,,,,,,,0,0
2559,189,Eritrea,189,1998,,,,,,,,,,0,0
2560,191,Djibouti,2,1998,,,,,,,,,,0,0
2561,193,Equatorial Guinea,3,1998,4.0,19.0,8.0,5.0,6.0,20.0,18.0,2.0,29.0,0,0
2562,194,Sao Tome and Principe,3,1998,,,,,,,,,,0,0
2563,117,Sudan,1,1998,9.0,27.0,7.0,7.0,13.0,29.0,42.0,-13.0,28.0,1,0
2564,115,Tanzania,4,1998,3.0,9.0,0.0,3.0,6.0,6.0,18.0,-12.0,3.0,0,0
2565,96,Uganda,-8,1998,7.0,23.0,4.0,3.0,16.0,21.0,38.0,-17.0,15.0,0,0
2566,103,Sierra Leone,0,1998,3.0,8.0,1.0,3.0,4.0,4.0,14.0,-10.0,6.0,0,0
2567,105,Liberia,0,1998,2.0,5.0,1.0,2.0,2.0,5.0,7.0,-2.0,5.0,0,0
2568,177,Chad,7,1998,,,,,,,,,,0,0
2569,110,Congo,-5,1998,7.0,26.0,7.0,7.0,12.0,27.0,37.0,-10.0,28.0,1,0
2570,157,Botswana,2,1998,1.0,3.0,0.0,0.0,3.0,2.0,9.0,-7.0,0.0,0,0
2571,142,Eswatini,1,1998,,,,,,,,,,0,0
2572,140,Ethiopia,2,1998,11.0,30.0,7.0,4.0,19.0,31.0,67.0,-36.0,25.0,1,0
2573,135,Lesotho,3,1998,,,,,,,,,,0,0
2574,131,Mauritania,4,1998,3.0,10.0,1.0,2.0,7.0,4.0,16.0,-12.0,5.0,0,0
2575,129,Benin,4,1998,4.0,14.0,0.0,5.0,9.0,7.0,24.0,-17.0,5.0,0,0
2576,123,Gambia,6,1998,2.0,8.0,3.0,1.0,4.0,6.0,10.0,-4.0,10.0,0,0
2577,145,Libya,-6,1998,3.0,11.0,3.0,5.0,3.0,12.0,13.0,-1.0,14.0,0,0
2578,147,Niger,5,1998,2.0,6.0,0.0,1.0,5.0,1.0,9.0,-8.0,1.0,0,0
2579,148,Madagascar,-4,1998,1.0,5.0,2.0,2.0,1.0,7.0,7.0,0.0,8.0,0,0
2580,166,Rwanda,3,1998,1.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,4.0,0,0
2581,162,Guinea-Bissau,4,1998,4.0,12.0,0.0,3.0,9.0,4.0,19.0,-15.0,3.0,0,0
2582,153,Burundi,6,1998,1.0,3.0,0.0,0.0,3.0,0.0,4.0,-4.0,0.0,0,0
2583,151,Mauritius,2,1998,1.0,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0,0
2584,161,Cape Verde,2,1998,4.0,16.0,5.0,8.0,3.0,14.0,12.0,2.0,21.0,0,0
2585,72,Burkina Faso,5,1998,13.0,52.0,10.0,17.0,25.0,51.0,78.0,-27.0,47.0,0,0
2586,89,Kenya,3,1998,6.0,17.0,2.0,4.0,11.0,11.0,31.0,-20.0,10.0,0,0
